g1_1,g1_2,g1_3,g1_4,g1_5,g1_6,g1_7,g1_8,g1_9,g1_10,g1_11,g1_12,g1_13,g1_14,g1_15,g1_16,g1_17,g1_18,g1_19,g1_20,g1_21,g2_1,g2_2,g2_3,g2_4,g2_5,g2_6,g2_7,g2_8,g2_9,g2_10,g2_11,g2_12,g2_13,g2_14,g2_15,g2_16,g2_17,g2_18,g2_19,g2_20,g2_21,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18,c_19,c_20,c_21,c_22,c_23,c_24,c_25,c_26,c_27,c_28,target
4.5,1,3,4,5,1,1,4,6,0,-2,-2,2.505031882,2.551406376,6.24,3.608,0.744,1.216,0.003078009,0.003027555,0.578205128,1.83,6,0,6,7,4,0,0,1,4,-1,3,2.888736368,2.616855093,5.552,0.728,0.16,0.002993686,0.002952804,0.586148649,3.5,1.97,-1,7,6,0,0,0,1,3.22360538,1,-3,-2,0,1,4,2,1,-6,-5,-0.383704486,-0.065448716,0.584,0.488,0,-3.232,-1.944,-0.00794352,1.76,2
2.2,24,22,46,10,24,28,18,22,-4,-4,-8,3.718982912,3.882271077,7.423435427,5.048030084,0.836177766,1.975243811,0.78488174,0.019448215,0.680012662,2.8,34,14,48,10,25,16,16,24,9,-8,1,4.065821915,4.042014812,6.369384584,1.511703549,1.783791307,0.78488174,0.03337327,0.49894874,3.25,1.85,2,1,3,0,0,0,0,1.541039104,10,-12,-2,0,12,2,-3,4,-13,-9,-0.346839002,-0.159743735,-0.947613542,0.463540262,0,-5.342173685,-1.3213545,0.181063922,1.85,1
12,7,4,11,18,8,11,2,10,-3,-8,-11,2.244549643,2.458086506,11.09139882,5.853004538,0.730045972,2.022004486,0.043936934,0.014264234,0.527706616,1.3,11,18,29,2,13,3,16,1,10,15,25,4.918483461,4.050389058,10.02940788,2.489173795,0.204741018,0.022246834,0.042003598,0.567983544,5,1.7,-5,10,5,0,0,0,1,2.049023691,-11,-7,-18,7,-5,-1,-3,-18,-18,-36,-2.673933818,-1.592302552,0.525304955,-0.467169309,0,-6.566521004,-4.176403345,-0.040276928,2.05,2
1.91,8,5,13,14,6,7,6,9,-1,-3,-4,2.580190256,2.683091636,9.864426258,2.582356869,0.656637821,1.407548756,0.041562558,0.021386402,0.261784801,4.5,5,3,8,17,5,9,7,16,-4,-9,-13,1.964163214,2.278146789,3.369489175,0.665585254,2.163560894,0.043936934,0.01035796,0.273885516,3.6,1.98,-1,3,2,0,0,0,0,2.284502957,5,0,5,-10,0,-3,4,8,1,9,0.616027043,0.404944847,-1.506923074,0.741963502,0,-2.438119801,-0.787132305,-0.012100715,1.82,0
2.5,23,16,39,14,33,25,18,27,8,-9,-1,3.470616676,3.055989418,11.67296159,4.554560318,1.895739526,1.237122289,0.941241476,6.22E-05,0.390180357,3,29,23,52,8,31,22,21,23,9,-2,7,4.527830998,4.215283756,4.494986383,1.419174306,1.144727831,0.364775851,0.00814786,0.347567791,3.4,1.8,-3,2,-1,1,0,0,0,2.648417715,0,-13,-13,10,4,-4,-4,10,-18,-8,-1.057214321,-1.159294338,0.751011694,-0.182052018,0,-1.259728102,0.059573936,0.042612566,1.99,2
1.8,21,12,33,13,18,19,9,20,-1,-11,-12,3.007391209,2.845927371,8.128219721,2.512950493,0.740087407,1.257751913,0.660248573,0.006409333,0.309163701,4.5,19,3,22,19,21,22,10,32,-1,-22,-23,1.920624946,2.110175872,3.524742924,0.994413786,1.949743653,0.740406769,3.14E-05,0.257984083,3.5,2.1,1,0,1,0,0,0,0,1.999667622,18,-7,11,-14,9,-13,-1,21,-10,11,1.086766263,0.735751499,-1.209656246,0.263338127,0,-5.534417481,-1.011792431,0.051179619,1.73,2
1.8,12,19,31,16,20,26,21,20,-6,1,-5,3.224633463,3.00320134,13.15555458,6.386128883,1.304871383,1.343469095,0.716133348,2.91E-05,0.48543213,4.333,23,4,27,18,24,15,6,29,9,-23,-14,2.415932565,2.384963877,5.441707213,0.633225728,1.325966541,0.70380778,4.44E-06,0.541100867,3.4,1.9,3,-1,2,1,0,0,0,3.260267356,8,-4,4,-9,20,6,-4,17,-8,9,0.808700898,0.618237463,-0.021095157,0.710243367,0,3.098821085,0.94442167,-0.055668737,1.79,2
2.5,19,12,31,19,14,18,14,23,-4,-9,-13,2.883288635,2.9030363,8.323370058,3.867193565,0.898126647,1.671567276,0.723632059,0.004339483,0.464618723,2.88,29,11,40,8,28,19,14,21,9,-7,2,3.823724795,3.545259068,7.113424299,1.449026914,1.373742377,0.612541313,0.051560469,0.55254448,3.25,2.15,3,3,6,0,0,0,0,1.290766774,8,-17,-9,-7,4,-5,-5,3,-18,-15,-0.94043616,-0.642222768,-0.475615729,0.222540361,0,-4.550569617,-3.246230733,-0.087925757,1.68,1
6,17,10,27,8,13,6,14,15,7,-1,6,3.670745317,3.458114171,13.36751369,7.184053726,2.080814734,1.773299965,0.10805241,0.014625335,0.537426323,1.57,30,19,49,1,26,6,14,3,20,11,31,5,4.807217633,8.412596733,2.07200221,0.635367563,0.007226503,0.164474457,0.603107424,3.6,2,0,8,8,0,0,0,1,2.835859312,-2,-20,-22,10,-8,8,-11,-4,-21,-25,-1.329254683,-1.349103462,1.445447171,-0.298702245,0,-0.581239707,-1.228543007,-0.065681102,1.72,2
2.25,14,8,22,4,11,5,8,9,6,-1,5,3.490323259,3.173319033,11.47310473,6.381948371,1.37056068,0.993092768,0.026649097,0.031904762,0.556252952,3.1,14,4,18,9,12,3,5,10,9,-5,4,3.148980147,2.808705725,5.90671489,1.537828303,0.865690337,0.037062897,0.023992836,0.598966798,3.2,1.95,-1,2,1,0,0,0,0,1.253578591,10,-6,4,1,0,5,-3,11,-10,1,0.341343112,0.364613308,0.504870343,-0.544735535,0,1.611598369,0.475233481,-0.042713847,1.75,2
